Mechanical & Extracellular Stress		
This table was generated by retriving a list of proteins related to Mechanotransduction and Focal Adhesion found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)	MAPK9 JNK2 PRKM9 SAPK1A	apoptotic signaling pathway [GO:0097190]; cellular response to reactive oxygen species [GO:0034614]; cellular senescence [GO:0090398]; Fc-epsilon receptor signaling pathway [GO:0038095]; inflammatory response to wounding [GO:0090594]; JNK cascade [GO:0007254]; modulation of chemical synaptic transmission [GO:0050804]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of gene expression [GO:0010628]; positive regulation of macrophage derived foam cell differentiation [GO:0010744]; positive regulation of podosome assembly [GO:0071803]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; protein localization to tricellular tight junction [GO:0061833]; protein phosphorylation [GO:0006468]; regulation of circadian rhythm [GO:0042752]; response to cadmium ion [GO:0046686]; rhythmic process [GO:0048511]
MyoD family inhibitor (Myogenic repressor I-mf)	MDFI	dorsal/ventral axis specification [GO:0009950]; embryonic skeletal system morphogenesis [GO:0048704]; maintenance of protein location in cell [GO:0032507]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of Wnt signaling pathway [GO:0030178]; regulation of JNK cascade [GO:0046328]; regulation of Wnt signaling pathway [GO:0030111]; trophoblast giant cell differentiation [GO:0060707]
MyoD family inhibitor domain-containing protein (I-mfa domain-containing protein) (hIC)	MDFIC	negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of protein import into nucleus [GO:0042308]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of viral transcription [GO:0050434]; regulation of JNK cascade [GO:0046328]; regulation of Wnt signaling pathway [GO:0030111]
MOB kinase activator 1A (Mob1 alpha) (Mob1A) (Mob1 homolog 1B) (Mps one binder kinase activator-like 1B)	MOB1A C2orf6 MOB4B MOBK1B MOBKL1B	hippo signaling [GO:0035329]
MOB kinase activator 1B (Mob1 homolog 1A) (Mob1A) (Mob1B) (Mps one binder kinase activator-like 1A)	MOB1B MOB4A MOBKL1A	hippo signaling [GO:0035329]; regulation of protein autophosphorylation [GO:0031952]
Multiple PDZ domain protein (Multi-PDZ domain protein 1)	MPDZ MUPP1	tight junction assembly [GO:0120192]
Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)	NEK2 NEK2A NLK1	blastocyst development [GO:0001824]; cell division [GO:0051301]; centrosome separation [GO:0051299]; chromosome segregation [GO:0007059]; meiotic cell cycle [GO:0051321]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly [GO:0090307]; negative regulation of centriole-centriole cohesion [GO:1903126]; positive regulation of telomere maintenance [GO:0032206]; regulation of attachment of spindle microtubules to kinetochore [GO:0051988]; regulation of mitotic centrosome separation [GO:0046602]; regulation of mitotic nuclear division [GO:0007088]; spindle assembly [GO:0051225]
Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	NHERF1 NHERF SLC9A3R1	actin cytoskeleton organization [GO:0030036]; adenylate cyclase-activating dopamine receptor signaling pathway [GO:0007191]; auditory receptor cell stereocilium organization [GO:0060088]; bile acid secretion [GO:0032782]; cerebrospinal fluid circulation [GO:0090660]; cilium organization [GO:0044782]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of Golgi localization [GO:0051683]; fibroblast migration [GO:0010761]; gamma-aminobutyric acid import [GO:0051939]; gland morphogenesis [GO:0022612]; glutathione transport [GO:0034635]; import across plasma membrane [GO:0098739]; intracellular phosphate ion homeostasis [GO:0030643]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; microvillus assembly [GO:0030033]; morphogenesis of an epithelium [GO:0002009]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of fibroblast migration [GO:0010764]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of sodium ion transport [GO:0010766]; nuclear migration [GO:0007097]; phospholipase C-activating dopamine receptor signaling pathway [GO:0060158]; plasma membrane organization [GO:0007009]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; protein localization to plasma membrane [GO:0072659]; protein-containing complex assembly [GO:0065003]; regulation of cell shape [GO:0008360]; regulation of cell size [GO:0008361]; regulation of protein kinase activity [GO:0045859]; regulation of renal phosphate excretion [GO:1903402]; renal absorption [GO:0070293]; renal phosphate ion absorption [GO:0097291]; renal sodium ion transport [GO:0003096]; sensory perception of sound [GO:0007605]; transport across blood-brain barrier [GO:0150104]; Wnt signaling pathway [GO:0016055]
Na(+)/H(+) exchange regulatory cofactor NHE-RF2 (NHERF-2) (NHE3 kinase A regulatory protein E3KARP) (SRY-interacting protein 1) (SIP-1) (Sodium-hydrogen exchanger regulatory factor 2) (Solute carrier family 9 isoform A3 regulatory factor 2) (Tyrosine kinase activator protein 1) (TKA-1)	NHERF2 SLC9A3R2	protein localization to plasma membrane [GO:0072659]; protein-containing complex assembly [GO:0065003]
Homeobox protein Nkx-2.5 (Cardiac-specific homeobox) (Homeobox protein CSX) (Homeobox protein NK-2 homolog E)	NKX2-5 CSX NKX2.5 NKX2E	adult heart development [GO:0007512]; aortic valve morphogenesis [GO:0003180]; apoptotic process involved in heart morphogenesis [GO:0003278]; atrial cardiac muscle cell development [GO:0055014]; atrial cardiac muscle tissue development [GO:0003228]; atrial septum morphogenesis [GO:0060413]; atrioventricular node cell development [GO:0060928]; atrioventricular node cell fate commitment [GO:0060929]; atrioventricular node development [GO:0003162]; bundle of His development [GO:0003166]; cardiac conduction system development [GO:0003161]; cardiac muscle cell development [GO:0055013]; cardiac muscle cell proliferation [GO:0060038]; cardiac muscle contraction [GO:0060048]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac septum morphogenesis [GO:0060411]; cardiac ventricle formation [GO:0003211]; cell differentiation [GO:0030154]; embryonic heart tube development [GO:0035050]; embryonic heart tube left/right pattern formation [GO:0060971]; epithelial cell apoptotic process [GO:1904019]; epithelial cell differentiation [GO:0030855]; epithelial cell proliferation [GO:0050673]; heart development [GO:0007507]; heart looping [GO:0001947]; heart morphogenesis [GO:0003007]; heart trabecula formation [GO:0060347]; hemopoiesis [GO:0030097]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of epithelial cell apoptotic process [GO:1904036]; negative regulation of myotube differentiation [GO:0010832]; negative regulation of transcription by RNA polymerase II [GO:0000122]; outflow tract septum morphogenesis [GO:0003148]; pharyngeal system development [GO:0060037]; positive regulation of cardioblast differentiation [GO:0051891]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of gene expression [GO:0010628]; positive regulation of heart contraction [GO:0045823]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of sodium ion transport [GO:0010765]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; proepicardium development [GO:0003342]; pulmonary myocardium development [GO:0003350]; Purkinje myocyte differentiation [GO:0003168]; regulation of cardiac conduction [GO:1903779]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of cardiac muscle contraction [GO:0055117]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; right ventricular cardiac muscle tissue morphogenesis [GO:0003221]; septum secundum development [GO:0003285]; spleen development [GO:0048536]; thyroid gland development [GO:0030878]; transcription by RNA polymerase II [GO:0006366]; vasculogenesis [GO:0001570]; ventricular cardiac muscle cell development [GO:0055015]; ventricular cardiac myofibril assembly [GO:0055005]; ventricular septum morphogenesis [GO:0060412]; ventricular trabecula myocardium morphogenesis [GO:0003222]
Nephrocystin-4 (Nephroretinin)	NPHP4 KIAA0673	actin cytoskeleton organization [GO:0030036]; cell-cell adhesion [GO:0098609]; flagellated sperm motility [GO:0030317]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; photoreceptor cell maintenance [GO:0045494]; photoreceptor cell outer segment organization [GO:0035845]; positive regulation of bicellular tight junction assembly [GO:1903348]; protein localization to ciliary transition zone [GO:1904491]; retina development in camera-type eye [GO:0060041]; signal transduction [GO:0007165]; visual behavior [GO:0007632]
NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)	NUAK2 OMPHK2 SNARK	actin cytoskeleton organization [GO:0030036]; apoptotic process [GO:0006915]; cellular response to glucose starvation [GO:0042149]; negative regulation of apoptotic process [GO:0043066]; protein localization to nucleus [GO:0034504]; protein phosphorylation [GO:0006468]; regulation of hippo signaling [GO:0035330]
Protein PALS1 (MAGUK p55 subfamily member 5) (Membrane protein, palmitoylated 5) (Protein associated with Lin-7 1)	PALS1 MPP5	central nervous system neuron development [GO:0021954]; cerebral cortex development [GO:0021987]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; establishment or maintenance of polarity of embryonic epithelium [GO:0016332]; gene expression [GO:0010467]; generation of neurons [GO:0048699]; morphogenesis of an epithelial sheet [GO:0002011]; myelin assembly [GO:0032288]; peripheral nervous system myelin maintenance [GO:0032287]; protein localization to myelin sheath abaxonal region [GO:0035750]; protein localization to plasma membrane [GO:0072659]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]
Pannexin-1 (PANX1) [Cleaved into: Caspase-activated pannexin-1 (Caspase-activated PANX1)]	PANX1 MRS1 UNQ2529/PRO6028	ATP transport [GO:0015867]; calcium ion transport [GO:0006816]; cell-cell signaling [GO:0007267]; monoatomic anion transmembrane transport [GO:0098656]; monoatomic cation transport [GO:0006812]; oogenesis [GO:0048477]; positive regulation of interleukin-1 alpha production [GO:0032730]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of macrophage cytokine production [GO:0060907]; response to ATP [GO:0033198]; response to ischemia [GO:0002931]
Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)	PARD3 PAR3 PAR3A	asymmetric cell division [GO:0008356]; axonogenesis [GO:0007409]; bicellular tight junction assembly [GO:0070830]; cell adhesion [GO:0007155]; establishment of cell polarity [GO:0030010]; establishment of centrosome localization [GO:0051660]; establishment of epithelial cell polarity [GO:0090162]; establishment or maintenance of cell polarity [GO:0007163]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; intracellular protein localization [GO:0008104]; microtubule cytoskeleton organization [GO:0000226]; myelination in peripheral nervous system [GO:0022011]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of myelination [GO:0031643]; protein targeting to membrane [GO:0006612]; protein-containing complex assembly [GO:0065003]
