Protein Names	Gene Names	Gene Ontology	Supporting_PMID	Stress_Type	Paper_Count
NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)	NLRC3 NOD3	canonical NF-kappaB signal transduction [GO:0007249]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of tumor necrosis factor production [GO:0032720]; T cell activation [GO:0042110]	37586455.0	Nutrient Stress	9
Metalloendopeptidase OMA1, mitochondrial (EC 3.4.24.-) (Metalloprotease-related protein 1) (MPRP-1) (Overlapping with the m-AAA protease 1 homolog)	OMA1 MPRP1	cellular response to stress [GO:0033554]; cristae formation [GO:0042407]; diet induced thermogenesis [GO:0002024]; energy homeostasis [GO:0097009]; glucose metabolic process [GO:0006006]; HRI-mediated signaling [GO:0140468]; integrated stress response signaling [GO:0140467]; lipid metabolic process [GO:0006629]; mitochondrial protein processing [GO:0034982]; mitochondrial respiratory chain complex assembly [GO:0033108]; negative regulation of mitochondrial fusion [GO:0010637]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cold-induced thermogenesis [GO:0120162]; protein autoprocessing [GO:0016540]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; regulation of cristae formation [GO:1903850]; zymogen activation [GO:0031638]	40466765.0	Nutrient Stress	9
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)	PLOD1 LLH PLOD	collagen biosynthetic process [GO:0032964]; collagen fibril organization [GO:0030199]; epidermis development [GO:0008544]; hydroxylysine biosynthetic process [GO:0046947]; response to hypoxia [GO:0001666]	40088025.0	Nutrient Stress	9
Prostacyclin synthase (EC 5.3.99.4) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Prostaglandin I2 synthase)	PTGIS CYP8 CYP8A1	apoptotic signaling pathway [GO:0097190]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cyclooxygenase pathway [GO:0019371]; decidualization [GO:0046697]; embryo implantation [GO:0007566]; icosanoid metabolic process [GO:0006690]; negative regulation of inflammatory response [GO:0050728]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; positive regulation of angiogenesis [GO:0045766]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035360]; prostaglandin biosynthetic process [GO:0001516]; prostanoid biosynthetic process [GO:0046457]	30315244.0	Nutrient Stress	9
Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)	SLC7A2 ATRC2 CAT2	amino acid import across plasma membrane [GO:0089718]; amino acid transport [GO:0006865]; L-alpha-amino acid transmembrane transport [GO:1902475]; L-amino acid transport [GO:0015807]; L-arginine import across plasma membrane [GO:0097638]; L-arginine transmembrane transport [GO:1903826]; L-ornithine transmembrane transport [GO:1903352]; transport across blood-brain barrier [GO:0150104]	42294887.0	Nutrient Stress	8
Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)	EIF3D EIF3S7	cap-dependent translational initiation [GO:0002191]; formation of cytoplasmic translation initiation complex [GO:0001732]; IRES-dependent viral translational initiation [GO:0075522]; translational initiation [GO:0006413]; viral translational termination-reinitiation [GO:0075525]	41364558.0	Nutrient Stress	8
mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (EGF-response factor 1) (ERF-1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1) (ZFP36-like 1)	ZFP36L1 BERG36 BRF1 ERF1 RNF162B TIS11B	3'-UTR-mediated mRNA destabilization [GO:0061158]; apoptotic process [GO:0006915]; cell population proliferation [GO:0008283]; cellular response to cAMP [GO:0071320]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to raffinose [GO:0097403]; cellular response to salt stress [GO:0071472]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; chorio-allantoic fusion [GO:0060710]; ERK1 and ERK2 cascade [GO:0070371]; heart development [GO:0007507]; MAPK cascade [GO:0000165]; mesendoderm development [GO:0048382]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; multicellular organism growth [GO:0035264]; negative regulation of erythrocyte differentiation [GO:0045647]; negative regulation of mitotic cell cycle phase transition [GO:1901991]; neural tube development [GO:0021915]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; nuclear-transcribed mRNA catabolic process, deadenylation-independent decay [GO:0031086]; p38MAPK cascade [GO:0038066]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of intracellular mRNA localization [GO:1904582]; positive regulation of monocyte differentiation [GO:0045657]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; proepicardium development [GO:0003342]; regulation of B cell differentiation [GO:0045577]; regulation of gene expression [GO:0010468]; regulation of keratinocyte apoptotic process [GO:1902172]; regulation of keratinocyte differentiation [GO:0045616]; regulation of keratinocyte proliferation [GO:0010837]; regulation of mRNA 3'-end processing [GO:0031440]; regulation of mRNA stability [GO:0043488]; regulation of myoblast differentiation [GO:0045661]; regulation of stem cell proliferation [GO:0072091]; regulation of translation [GO:0006417]; response to wounding [GO:0009611]; T cell differentiation in thymus [GO:0033077]; vasculogenesis [GO:0001570]	41906630.0	Nutrient Stress	8
GATOR2 complex protein WDR24 (EC 2.3.2.27) (WD repeat-containing protein 24)	WDR24 C16orf21 JFP7	autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; cellular response to nutrient levels [GO:0031669]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of macroautophagy [GO:0016239]; positive regulation of TOR signaling [GO:0032008]; positive regulation of TORC1 signaling [GO:1904263]; protein K6-linked ubiquitination [GO:0085020]; protein localization to plasma membrane [GO:0072659]; regulation of autophagy [GO:0010506]	36732624.0	Nutrient Stress	8
Hormone-sensitive lipase (HSL) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (EC 3.1.1.23) (Retinyl ester hydrolase) (REH)	LIPE	cholesterol metabolic process [GO:0008203]; diacylglycerol catabolic process [GO:0046340]; ether lipid metabolic process [GO:0046485]; lipid catabolic process [GO:0016042]; protein phosphorylation [GO:0006468]; triglyceride catabolic process [GO:0019433]	37852324.0	Nutrient Stress	8
Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (P-Rex1) (PtdIns(3,4,5)-dependent Rac exchanger 1)	PREX1 KIAA1415	actin filament polymerization [GO:0030041]; G protein-coupled receptor signaling pathway [GO:0007186]; intracellular signal transduction [GO:0035556]; negative regulation of TOR signaling [GO:0032007]; neutrophil activation [GO:0042119]; neutrophil chemotaxis [GO:0030593]; positive regulation of cell migration [GO:0030335]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; regulation of actin filament polymerization [GO:0030833]; regulation of dendrite development [GO:0050773]; regulation of small GTPase mediated signal transduction [GO:0051056]; superoxide metabolic process [GO:0006801]; T cell differentiation [GO:0030217]	40317800.0	Nutrient Stress	8
Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	MAP3K7 TAK1	anoikis [GO:0043276]; canonical NF-kappaB signal transduction [GO:0007249]; cellular response to angiotensin [GO:1904385]; cellular response to hypoxia [GO:0071456]; cellular response to tumor necrosis factor [GO:0071356]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to bacterium [GO:0042742]; Fc-epsilon receptor signaling pathway [GO:0038095]; I-kappaB phosphorylation [GO:0007252]; immune response [GO:0006955]; inflammatory response [GO:0006954]; interleukin-1-mediated signaling pathway [GO:0070498]; interleukin-17A-mediated signaling pathway [GO:0038173]; interleukin-33-mediated signaling pathway [GO:0038172]; JNK cascade [GO:0007254]; MAPK cascade [GO:0000165]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of gene expression [GO:0010629]; nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO:0035872]; p38MAPK cascade [GO:0038066]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell size [GO:0045793]; positive regulation of cGAS/STING signaling pathway [GO:0141111]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of macroautophagy [GO:0016239]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of T cell cytokine production [GO:0002726]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; signal transduction in response to DNA damage [GO:0042770]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; toll-like receptor 3 signaling pathway [GO:0034138]; toll-like receptor 4 signaling pathway [GO:0034142]; transforming growth factor beta receptor signaling pathway [GO:0007179]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]	32597364.0	Nutrient Stress	8
5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (Serotonin receptor 2B)	HTR2B	calcium-mediated signaling [GO:0019722]; cardiac muscle hypertrophy [GO:0003300]; cGMP-mediated signaling [GO:0019934]; chemical synaptic transmission [GO:0007268]; embryonic morphogenesis [GO:0048598]; ERK1 and ERK2 cascade [GO:0070371]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; G protein-coupled serotonin receptor signaling pathway [GO:0098664]; heart morphogenesis [GO:0003007]; intestine smooth muscle contraction [GO:0014827]; intracellular calcium ion homeostasis [GO:0006874]; negative regulation of apoptotic process [GO:0043066]; neural crest cell differentiation [GO:0014033]; neural crest cell migration [GO:0001755]; phospholipase C-activating serotonin receptor signaling pathway [GO:0007208]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytokine production [GO:0001819]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of phosphatidylinositol biosynthetic process [GO:0010513]; regulation of behavior [GO:0050795]; release of sequestered calcium ion into cytosol [GO:0051209]; response to xenobiotic stimulus [GO:0009410]; serotonin receptor signaling pathway [GO:0007210]; vasoconstriction [GO:0042310]	41034989.0	Nutrient Stress	8
Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	cell division [GO:0051301]; cell surface receptor signaling pathway [GO:0007166]; cellular response to nutrient [GO:0031670]; Golgi organization [GO:0007030]; intermediate filament cytoskeleton organization [GO:0045104]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of TORC1 signaling [GO:1904263]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]; viral protein processing [GO:0019082]; Wnt signaling pathway [GO:0016055]	37149115.0	Nutrient Stress	7
