Molecule-Related Stress		
This table was generated by retriving a list of proteins related to Caspases, Ferroptosis, Pore-formers, Cuproptosis, Pathanatos, and Anoikis found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Fragile X messenger ribonucleoprotein 1 (Fragile X messenger ribonucleoprotein) (FMRP) (Protein FMR-1)	FMR1	animal organ development [GO:0048513]; cellular response to virus [GO:0098586]; DNA repair [GO:0006281]; glutamate receptor signaling pathway [GO:0007215]; host-mediated perturbation of viral RNA genome replication [GO:0044830]; membraneless organelle assembly [GO:0140694]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; negative regulation of cytoplasmic translation [GO:2000766]; negative regulation of long-term synaptic depression [GO:1900453]; negative regulation of miRNA-mediated gene silencing [GO:0060965]; negative regulation of synaptic vesicle exocytosis [GO:2000301]; negative regulation of translation [GO:0017148]; negative regulation of translational initiation [GO:0045947]; negative regulation of voltage-gated calcium channel activity [GO:1901386]; nervous system development [GO:0007399]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of intracellular transport of viral material [GO:1901254]; positive regulation of long-term neuronal synaptic plasticity [GO:0048170]; positive regulation of miRNA-mediated gene silencing [GO:2000637]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of receptor internalization [GO:0002092]; positive regulation of translation [GO:0045727]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of dendritic spine development [GO:0060998]; regulation of filopodium assembly [GO:0051489]; regulation of mRNA stability [GO:0043488]; regulation of neuronal action potential [GO:0098908]; regulation of neurotransmitter secretion [GO:0046928]; regulation of translation at presynapse, modulating synaptic transmission [GO:0099577]; regulatory ncRNA-mediated gene silencing [GO:0031047]; RNA splicing [GO:0008380]; stress granule assembly [GO:0034063]
Forkhead box protein P1 (Mac-1-regulated forkhead) (MFH)	FOXP1 HSPC215	cellular response to tumor necrosis factor [GO:0071356]; DNA damage response [GO:0006974]; endothelial cell activation [GO:0042118]; macrophage activation [GO:0042116]; monocyte activation [GO:0042117]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of B cell apoptotic process [GO:0002903]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; osteoclast development [GO:0036035]; osteoclast differentiation [GO:0030316]; positive regulation of B cell receptor signaling pathway [GO:0050861]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of hydrogen peroxide-mediated programmed cell death [GO:1901300]; positive regulation of interleukin-21 production [GO:0032745]; positive regulation of smooth muscle cell proliferation [GO:0048661]; regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000341]; regulation of defense response to bacterium [GO:1900424]; regulation of endothelial tube morphogenesis [GO:1901509]; regulation of gene expression [GO:0010468]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-1 beta production [GO:0032651]; regulation of interleukin-12 production [GO:0032655]; regulation of macrophage colony-stimulating factor production [GO:1901256]; regulation of monocyte differentiation [GO:0045655]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of tumor necrosis factor production [GO:0032680]; response to lipopolysaccharide [GO:0032496]; response to testosterone [GO:0033574]; striatum development [GO:0021756]; T follicular helper cell differentiation [GO:0061470]
Glucocorticoid modulatory element-binding protein 1 (GMEB-1) (DNA-binding protein p96PIF) (Parvovirus initiation factor p96) (PIF p96)	GMEB1	negative regulation of apoptotic process [GO:0043066]; regulation of transcription by RNA polymerase II [GO:0006357]
Golgin subfamily A member 3 (Golgi complex-associated protein of 170 kDa) (GCP170) (Golgin-160)	GOLGA3	
GRIP1-associated protein 1 (GRASP-1) [Cleaved into: GRASP-1 C-terminal chain (30kDa C-terminus form)]	GRIPAP1 KIAA1167	negative regulation of receptor clustering [GO:1903910]; protein transport [GO:0015031]; regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane [GO:0099152]; regulation of recycling endosome localization within postsynapse [GO:0099158]
Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (hGSDMD-NTD); Gasdermin-D, C-terminal (GSDMD-CT) (hGSDMD-CTD); Gasdermin-D, p13 (Gasdermin-D, 13 kDa) (13 kDa GSDMD); Gasdermin-D, p40]	GSDMD DFNA5L GSDMDC1 FKSG10	ceramide biosynthetic process [GO:0046513]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]; plasma membrane repair [GO:0001778]; pore complex assembly [GO:0046931]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; protein homooligomerization [GO:0051260]; protein maturation [GO:0051604]; protein secretion [GO:0009306]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]
Gasdermin-E (Inversely correlated with estrogen receptor expression 1) (ICERE-1) (Non-syndromic hearing impairment protein 5) [Cleaved into: Gasdermin-E, N-terminal (GSDME-NT); Gasdermin-E, C-terminal (GSDME-CT)]	GSDME DFNA5 ICERE1	cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of immune response to tumor cell [GO:0002839]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of MAPK cascade [GO:0043410]; programmed cell death [GO:0012501]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]; sensory perception of sound [GO:0007605]
Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein deacylase HDAC1) (EC 3.5.1.-)	HDAC1 RPD3L1	cellular response to platelet-derived growth factor stimulus [GO:0036120]; chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; circadian regulation of gene expression [GO:0032922]; DNA methylation-dependent constitutive heterochromatin formation [GO:0006346]; embryonic digit morphogenesis [GO:0042733]; endoderm development [GO:0007492]; epidermal cell differentiation [GO:0009913]; eyelid development in camera-type eye [GO:0061029]; fungiform papilla formation [GO:0061198]; hair follicle placode formation [GO:0060789]; heterochromatin formation [GO:0031507]; hippocampus development [GO:0021766]; host-mediated suppression of viral transcription [GO:0043922]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell migration [GO:0030336]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuron differentiation [GO:0030182]; odontogenesis of dentin-containing tooth [GO:0042475]; oligodendrocyte differentiation [GO:0048709]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell fate specification [GO:0042659]; regulation of stem cell differentiation [GO:2000736]; regulation of transcription by RNA polymerase II [GO:0006357]
Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-)	HDAC2	behavioral response to ethanol [GO:0048149]; cardiac muscle hypertrophy [GO:0003300]; cellular response to dopamine [GO:1903351]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to retinoic acid [GO:0071300]; cellular response to transforming growth factor beta stimulus [GO:0071560]; chromatin remodeling [GO:0006338]; circadian regulation of gene expression [GO:0032922]; dendrite development [GO:0016358]; embryonic digit morphogenesis [GO:0042733]; epidermal cell differentiation [GO:0009913]; eyelid development in camera-type eye [GO:0061029]; fungiform papilla formation [GO:0061198]; hair follicle placode formation [GO:0060789]; heterochromatin formation [GO:0031507]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of dendritic spine development [GO:0061000]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of neuron projection development [GO:0010977]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by competitive promoter binding [GO:0010944]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of male mating behavior [GO:1902437]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of proteolysis [GO:0045862]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; progesterone receptor signaling pathway [GO:0050847]; regulation of cell fate specification [GO:0042659]; regulation of stem cell differentiation [GO:2000736]; response to amphetamine [GO:0001975]; response to amyloid-beta [GO:1904645]; response to caffeine [GO:0031000]; response to cocaine [GO:0042220]; response to hyperoxia [GO:0055093]; response to lipopolysaccharide [GO:0032496]; response to nicotine [GO:0035094]; response to xenobiotic stimulus [GO:0009410]
High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	activation of innate immune response [GO:0002218]; apoptotic cell clearance [GO:0043277]; autophagy [GO:0006914]; base-excision repair [GO:0006284]; cellular response to interleukin-7 [GO:0098761]; cellular response to lipopolysaccharide [GO:0071222]; chromatin remodeling [GO:0006338]; dendritic cell chemotaxis [GO:0002407]; DNA geometric change [GO:0032392]; DNA recombination [GO:0006310]; DNA topological change [GO:0006265]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; endothelial cell chemotaxis [GO:0035767]; endothelial cell proliferation [GO:0001935]; eye development [GO:0001654]; glycogen catabolic process [GO:0005980]; heterochromatin formation [GO:0031507]; inflammatory response [GO:0006954]; inflammatory response to antigenic stimulus [GO:0002437]; innate immune response [GO:0045087]; lung development [GO:0030324]; macrophage activation involved in immune response [GO:0002281]; myeloid cell differentiation [GO:0030099]; myeloid dendritic cell activation [GO:0001773]; myeloid progenitor cell differentiation [GO:0002318]; negative regulation of apoptotic cell clearance [GO:2000426]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043371]; negative regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0017055]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; neuron projection development [GO:0031175]; neutrophil clearance [GO:0097350]; plasmacytoid dendritic cell activation [GO:0002270]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000343]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of dendritic cell differentiation [GO:2001200]; positive regulation of DNA binding [GO:0043388]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glycogen catabolic process [GO:0045819]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mismatch repair [GO:0032425]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of monocyte chemotaxis [GO:0090026]; positive regulation of myeloid cell differentiation [GO:0045639]; positive regulation of myeloid progenitor cell differentiation [GO:1905455]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of toll-like receptor 2 signaling pathway [GO:0034137]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; positive regulation of viral entry into host cell [GO:0046598]; positive regulation of wound healing [GO:0090303]; regulation of nucleotide-excision repair [GO:2000819]; regulation of restriction endodeoxyribonuclease activity [GO:0032072]; regulation of T cell mediated immune response to tumor cell [GO:0002840]; regulation of tolerance induction [GO:0002643]; response to glucocorticoid [GO:0051384]; T-helper 1 cell activation [GO:0035711]; T-helper 1 cell differentiation [GO:0045063]; transcription by RNA polymerase II [GO:0006366]; V(D)J recombination [GO:0033151]
